CONTAINER_NO,VESSEL,MCHN_ID,MCHN_TP_CD,JOB_TYPE,FULL_EMPTY,BLOCK_BAY,JOB_END_DT
container24,ship0,TC255,TC,LD-YARDSIDE,F,3.00E-37,2018-01-31 14:04
container24,ship0,YT589,YT,LD-MOVE,F,3.00E-37,2018-01-31 14:16
container25,ship0,GC102,QC,DS-QUAYSIDE,F,3F-69,2018-01-31 7:08
container25,ship0,TC265,TC,DS-YARDSIDE,F,3F-69,2018-01-31 7:24
container25,ship0,YT517,YT,DS-MOVE,F,3F-69,2018-01-31 7:23
container26,ship0,GC102,GC,LD-QUAYSIDE,F,3F-11,2018-01-31 22:19
container26,ship0,TC265,TC,LD-YARDSIDE,F,3F-11,2018-01-31 22:11
container26,ship0,YT566,YT,LD-MOVE,F,3F-11,2018-01-31 22:16
container27,ship0,GC102,GC,LD-QUAYSIDE,F,3F-11,2018-01-31 22:12
container27,ship0,TC265,TC,LD-YARDSIDE,F,3F-11,2018-01-31 22:02
container27,ship0,YT596,YT,LD-MOVE,F,3F-11,2018-01-31 22:10
container28,ship0,GC102,QC,DS-QUAYSIDE,F,3F-69,2018-01-31 7:06
container28,ship0,TC265,TC,DS-YARDSIDE,F,3F-69,2018-01-31 7:29
container28,ship0,YT564,YT,DS-MOVE,F,3F-69,2018-01-31 7:27
container29,ship0,GC104,GC,LD-QUAYSIDE,F,1B-51,2018-01-31 18:45
container29,ship0,TC222,TC,LD-YARDSIDE,F,1B-51,2018-01-31 18:22
container29,ship0,YT585,YT,LD-MOVE,F,1B-51,2018-01-31 18:42
container30,ship0,GC104,QC,DS-QUAYSIDE,F,2B-21,2018-01-31 10:11
container30,ship0,TC223,TC,DS-YARDSIDE,F,2B-21,2018-01-31 10:18
container30,ship0,YT533,YT,DS-MOVE,F,2B-21,2018-01-31 10:16
container31,ship0,GC104,GC,LD-QUAYSIDE,F,2C-61,2018-01-31 19:18
container31,ship0,TC234,TC,LD-YARDSIDE,F,2C-61,2018-01-31 19:02
container31,ship0,YT571,YT,LD-MOVE,F,2C-61,2018-01-31 19:16
container32,ship0,GC105,GC,LD-QUAYSIDE,F,2C-35,2018-01-31 17:03
container32,ship0,TC233,TC,LD-YARDSIDE,F,2C-35,2018-01-31 16:52
container32,ship0,YT531,YT,LD-MOVE,F,2C-35,2018-01-31 17:01
container33,ship0,GC105,GC,LD-QUAYSIDE,F,2B-91,2018-01-31 17:12
container33,ship0,TC224,TC,LD-YARDSIDE,F,2B-91,2018-01-31 17:08
container33,ship0,YT545,YT,LD-MOVE,F,2B-91,2018-01-31 17:10
container34,ship0,GC105,GC,LD-QUAYSIDE,F,2C-35,2018-01-31 18:16
container34,ship0,TC233,TC,LD-YARDSIDE,F,2C-35,2018-01-31 18:06
container34,ship0,YT535,YT,LD-MOVE,F,2C-35,2018-01-31 18:14
container35,ship0,GC105,GC,LD-QUAYSIDE,F,2A-33,2018-01-31 17:31
container35,ship0,TC213,TC,LD-YARDSIDE,F,2A-33,2018-01-31 17:25
container35,ship0,YT544,YT,LD-MOVE,F,2A-33,2018-01-31 17:29
container36,ship0,GC101,QC,DS-QUAYSIDE,F,1A-06,2018-01-31 3:21
container36,ship0,TC211,TC,DS-YARDSIDE,F,1A-06,2018-01-31 3:34
container36,ship0,YT524,YT,DS-MOVE,F,1A-06,2018-01-31 3:32
container37,ship0,GC102,QC,DS-QUAYSIDE,F,3F-83,2018-01-31 7:04
container37,ship0,TC266,TC,DS-YARDSIDE,F,3F-83,2018-01-31 7:17
container37,ship0,YT567,YT,DS-MOVE,F,3F-83,2018-01-31 7:16
container38,ship0,GC103,GC,LD-QUAYSIDE,F,3B-19,2018-01-31 14:16
container38,ship0,TC225,TC,LD-YARDSIDE,F,3B-19,2018-01-31 14:02
container38,ship0,YT533,YT,LD-MOVE,F,3B-19,2018-01-31 14:14
container39,ship0,GC103,GC,LD-QUAYSIDE,F,3D-55,2018-01-31 14:19
container39,ship0,TC245,TC,LD-YARDSIDE,F,3D-55,2018-01-31 14:16
container39,ship0,YT589,YT,LD-MOVE,F,3D-55,2018-01-31 14:16
container40,ship0,GC103,GC,LD-QUAYSIDE,F,3.00E-37,2018-01-31 14:23
container40,ship0,TC255,TC,LD-YARDSIDE,F,3.00E-37,2018-01-31 14:12
container40,ship0,YT522,YT,LD-MOVE,F,3.00E-37,2018-01-31 14:20
container41,ship0,GC102,GC,LD-QUAYSIDE,F,3F-83,2018-01-31 22:49
container41,ship0,TC266,TC,LD-YARDSIDE,F,3F-83,2018-01-31 22:17
container41,ship0,YT574,YT,LD-MOVE,F,3F-83,2018-01-31 22:47
container42,ship0,GC103,GC,LD-QUAYSIDE,F,2C-87,2018-01-31 14:09
container42,ship0,TC234,TC,LD-YARDSIDE,F,2C-87,2018-01-31 13:57
container42,ship0,YT523,YT,LD-MOVE,F,2C-87,2018-01-31 14:07
container43,ship0,GC106,QC,DS-QUAYSIDE,F,2D-37,2018-01-31 9:49
container43,ship0,TC243,TC,DS-YARDSIDE,F,2D-37,2018-01-31 10:05
container43,ship0,YT533,YT,DS-MOVE,F,2D-37,2018-01-31 10:03
container44,ship0,GC105,GC,LD-QUAYSIDE,F,3C-77,2018-01-31 18:24
container44,ship0,TC236,TC,LD-YARDSIDE,F,3C-77,2018-01-31 18:22
container44,ship0,YT526,YT,LD-MOVE,F,3C-77,2018-01-31 18:22
container45,ship0,GC104,GC,LD-QUAYSIDE,F,1.00E-55,2018-01-31 20:06
container45,ship0,TC251,TC,LD-YARDSIDE,F,1.00E-55,2018-01-31 19:33
container45,ship0,YT539,YT,LD-MOVE,F,1.00E-55,2018-01-31 20:04
container46,ship0,GC103,QC,DS-QUAYSIDE,F,2F-39,2018-01-31 9:47
container46,ship0,TC263,TC,DS-YARDSIDE,F,2F-39,2018-01-31 10:02
container46,ship0,YT544,YT,DS-MOVE,F,2F-39,2018-01-31 10:01
container47,ship0,GC104,GC,LD-QUAYSIDE,F,2C-61,2018-01-31 20:33
container47,ship0,TC234,TC,LD-YARDSIDE,F,2C-61,2018-01-31 20:23
container47,ship0,YT539,YT,LD-MOVE,F,2C-61,2018-01-31 20:30
container48,ship0,GC101,QC,DS-QUAYSIDE,M,1D-27,2018-01-31 10:30
container48,ship0,TC241,TC,DS-YARDSIDE,M,1D-27,2018-01-31 10:43
container48,ship0,YT517,YT,DS-MOVE,M,1D-27,2018-01-31 10:42
container49,ship0,GC105,QC,DS-QUAYSIDE,F,2C-47,2018-01-31 10:25
container49,ship0,TC233,TC,DS-YARDSIDE,F,2C-47,2018-01-31 10:38
container49,ship0,YT518,YT,DS-MOVE,F,2C-47,2018-01-31 10:37
container50,ship0,GC101,QC,DS-QUAYSIDE,M,3C-21,2018-01-31 10:11
container50,ship0,TC235,TC,DS-YARDSIDE,M,3C-21,2018-01-31 10:21
container50,ship0,YT596,YT,DS-MOVE,M,3C-21,2018-01-31 10:20
container51,ship0,GC105,QC,DS-QUAYSIDE,F,2D-43,2018-01-31 11:14
container51,ship0,TC243,TC,DS-YARDSIDE,F,2D-43,2018-01-31 11:31
container51,ship0,YT523,YT,DS-MOVE,F,2D-43,2018-01-31 11:30
container52,ship0,GC104,GC,LD-QUAYSIDE,F,3.00E-73,2018-01-31 18:12
container52,ship0,TC256,TC,LD-YARDSIDE,F,3.00E-73,2018-01-31 17:51
container52,ship0,YT510,YT,LD-MOVE,F,3.00E-73,2018-01-31 18:09
